side,client_order_id,datetime,symbol,qty,filled_avg_price
buy,Buy-SPY-2024-06-12-15:19 IST,2024-06-12-15:19 IST,SPY,1,543.3
buy,Buy-SPY-2024-06-12-15:23 IST,2024-06-12-15:23 IST,SPY,1,543.44
